building_name,unit_number,bedrooms,size_sqft,contract_date,transaction_amount,floor_level,view,confidence,sources
Golden Mile,3212,3,2421.88,2024-12-27,,2,,HIGH,reidin
Golden Mile,OF02,,3059.32,2024-12-27,,MEZ,,HIGH,reidin
Al Shamsi,422,1,1059.38,2024-12-27,,4,,HIGH,reidin
Al Nabat,1211,2,2023.61,2024-12-27,,12,,HIGH,reidin
Balqis Residences,GR06,,1004.38,2024-12-26,,G,,HIGH,reidin
Balqis Residences,GR03,,1729.33,2024-12-26,,G,,HIGH,reidin
The Fairmont Palm Residences,414,2,2217.36,2024-12-26,,4,,HIGH,reidin
Balqis Residences,GR01,,548.64,2024-12-26,,G,,HIGH,reidin
Royal Atlantis,405,1,1142.8,2024-12-26,,4,,HIGH,reidin
Al Shirawi,808,2,1550.76,2024-12-26,,8,,HIGH,reidin
Al Mashraba,706,3,4057.99,2024-12-26,,7,,HIGH,reidin
Balqis Residences,GR11PB,,2801.84,2024-12-26,,G,,HIGH,reidin
Al Shirawi,PH06,4,5231.26,2024-12-26,,LP,,HIGH,reidin
Balqis Residences,GR04,,1788.74,2024-12-26,,G,,HIGH,reidin
Royal Atlantis,1507,2,2475.7,2024-12-25,,15,,HIGH,reidin
Al Ramth,608,2,1745.69,2024-12-25,,6,,HIGH,reidin
Al Msalli,501,2,1560.77,2024-12-25,,5,,HIGH,reidin
Seven Palm,M36,1,656.6,2024-12-25,,M,,HIGH,reidin
Club Vista Mare,102,0,606.87,2024-12-24,,1,,HIGH,reidin
Al Nabat,609,2,1732.99,2024-12-24,,6,,HIGH,reidin
Marina Residences,102N,2,1980.56,2024-12-24,,1,,HIGH,reidin
Marina Residences,615,1,1140.97,2024-12-24,,6,,HIGH,reidin
Al Shamsi,G56,3,2982.14,2024-12-24,,G,,HIGH,reidin
Golden Mile,6502,2,1797.57,2024-12-24,,5,,HIGH,reidin
The Fairmont Palm Residences,217,4,3326.05,2024-12-24,,2,,HIGH,reidin
The 8,20613,2,1323.96,2024-12-24,,6,,HIGH,reidin
