rent_type,date,start_date,end_date,community,property,property_type,unit,bedrooms,floor,primary_view,secondary_view,parking,balcony_area,size_sqf,land_size,annual_rent_aed
Renewed,2019-12-24T00:00:00,2020-01-01T00:00:00,2020-12-31T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,364.79,,100000.0
Renewed,2019-12-24T00:00:00,2019-11-01T00:00:00,2019-12-31T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,364.79,,60000.0
New,2019-03-20T00:00:00,2018-11-01T00:00:00,2019-10-31T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,364.79,,60000.0
New,2018-08-08T00:00:00,2018-03-01T00:00:00,2019-02-28T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1173.27,,150000.0
New,2018-11-07T00:00:00,2018-11-08T00:00:00,2019-11-07T00:00:00,Palm Jumeirah,,Residential,,,,,,,,2217.36,,140000.0
Renewed,2018-10-13T00:00:00,2018-08-08T00:00:00,2019-08-07T00:00:00,Palm Jumeirah,,Residential,,,,,,,,2185.07,,170000.0
Renewed,2018-08-02T00:00:00,2018-09-09T00:00:00,2019-09-08T00:00:00,Palm Jumeirah,,Residential,,,,,,,,4832.99,,143750.0
Renewed,2019-11-26T00:00:00,2019-08-08T00:00:00,2020-09-07T00:00:00,Palm Jumeirah,,Residential,,,,,,,,2185.07,,150230.77
Renewed,2019-11-07T00:00:00,2019-11-08T00:00:00,2020-11-07T00:00:00,Palm Jumeirah,,Residential,,,,,,,,2217.36,,140000.0
New,2019-10-30T00:00:00,2019-09-24T00:00:00,2020-09-23T00:00:00,Palm Jumeirah,,Residential,,,,,,,,2185.07,,115000.0
New,2020-01-05T00:00:00,2019-11-28T00:00:00,2022-11-27T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,979.95,,588000.0
New,2019-12-19T00:00:00,2019-09-05T00:00:00,2022-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,499.98,,236438.33
New,2019-12-04T00:00:00,2019-11-28T00:00:00,2022-11-27T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1249.04,,487110.0
New,2019-11-28T00:00:00,2019-11-28T00:00:00,2022-11-27T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,336.05,,158886.56
New,2019-11-27T00:00:00,2019-11-28T00:00:00,2022-11-27T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,979.95,,588000.0
New,2019-11-26T00:00:00,2019-11-28T00:00:00,2024-11-27T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1144.96,,368735.8
New,2019-11-24T00:00:00,2019-11-21T00:00:00,2023-11-20T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,585.02,,264749.06
New,2019-11-19T00:00:00,2019-09-05T00:00:00,2022-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,2053.97,,403097.5
New,2019-11-17T00:00:00,2019-09-05T00:00:00,2022-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,863.05,,321283.39
New,2019-11-12T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,2531.02,,839122.68
New,2019-11-12T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,39333.98,,5526741.67
New,2019-11-12T00:00:00,2019-10-30T00:00:00,2022-10-29T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1175.96,,367699.92
New,2019-11-11T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,2701.95,,918858.33
New,2019-11-11T00:00:00,2019-10-30T00:00:00,2022-10-29T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1241.72,,403650.0
New,2019-11-04T00:00:00,2019-10-30T00:00:00,2023-10-29T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,726.03,,254820.56
New,2019-10-28T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,2817.02,,897518.74
New,2019-10-28T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,3196.02,,988043.4
New,2019-10-22T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,843.03,,293460.1
New,2019-10-21T00:00:00,2019-10-30T00:00:00,2022-10-29T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1241.72,,771225.0
New,2019-10-20T00:00:00,2019-09-05T00:00:00,2022-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,981.02,,309260.25
New,2019-10-15T00:00:00,2019-10-30T00:00:00,2029-10-29T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,45959.92,,7618881.12
New,2019-10-13T00:00:00,2019-09-05T00:00:00,2022-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,2765.03,,829500.0
New,2019-10-13T00:00:00,2019-09-05T00:00:00,2022-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,2814.01,,772968.28
New,2019-10-10T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1075.96,,274380.0
New,2019-10-09T00:00:00,2019-10-30T00:00:00,2024-10-29T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1395.97,,813000.0
New,2019-10-09T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,923,,392099.63
New,2019-10-09T00:00:00,2019-09-05T00:00:00,2026-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1774,,447352.11
New,2019-10-08T00:00:00,2019-09-05T00:00:00,2022-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1207.06,,291144.49
New,2019-10-07T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,475.01,,127513.75
New,2019-10-07T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,444.01,,131335.2
New,2019-10-07T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,2007.04,,806595.6
Renewed,2019-10-06T00:00:00,2019-03-01T00:00:00,2020-02-29T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1173.27,,150000.0
New,2019-10-06T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1698.97,,424580.1
New,2019-10-06T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,861,,254683.8
New,2019-10-06T00:00:00,2019-09-05T00:00:00,2026-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,2297.99,,507056.98
New,2019-10-06T00:00:00,2019-09-05T00:00:00,2026-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,2281.95,,503526.56
New,2019-10-06T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1743,,480022.2
New,2019-10-06T00:00:00,2019-09-05T00:00:00,2026-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,2029.96,,682544.0
New,2019-10-06T00:00:00,2019-09-05T00:00:00,2026-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,925.05,,204102.57
New,2019-10-02T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1502.96,,531520.92
New,2019-09-29T00:00:00,2019-10-30T00:00:00,2024-10-29T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,1490.05,,298000.0
New,2019-09-29T00:00:00,2019-09-05T00:00:00,2024-09-04T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,934.95,,381480.0
New,2019-09-24T00:00:00,2019-09-05T00:00:00,2024-09-05T00:00:00,Palm Jumeirah,,Commercial,,,,,,,,17799.94,,2467702.65
New,2019-11-04T00:00:00,2018-12-14T00:00:00,2021-12-13T00:00:00,Palm Jumeirah,THE POINTE - BLOCK A,Commercial,TPT-G-A-IN27,,,,,,,1353.56,,758701.67
