contract_start,contract_end,contract_type,rent_recurrence,building_raw,building_name,unit_number,annualized_rent,size_sqft,bedrooms,floor_level,view
2024-01-01,2033-12-31,Rental Contracts,Renewal,Signature Villas Frond P (Al Sullaj),Al Sultana,PJFRP090,10000.0,6999.98,6.0,,
2024-11-23,2033-11-22,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,P079,1971734.49,12648.98,,G,
2024-03-31,2033-03-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F063B,315742.09,654.01,,1,
2024-03-31,2033-03-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F063C,315742.09,2466.01,,G,
2024-03-31,2033-03-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F042,315742.09,913.32,,1,
2024-03-31,2033-03-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F041,315742.09,1184.03,,1,
2024-03-31,2033-03-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F063A,315742.09,1753.01,,1,
2024-03-31,2033-03-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F076B,265571.5,864.99,,1,
2024-03-31,2033-03-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F077,265571.5,593.95,,1,
2024-03-31,2033-03-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F076C,265571.5,2114.68,,1,
2024-03-31,2033-03-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,F062,315742.09,1538.48,,1,
2022-12-09,2032-12-08,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C5,1788888.89,4208.68,,G,Sea View / Beach View
2022-12-09,2032-12-08,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C6,1788888.89,9203.13,,G,Sea View / Beach View
2022-12-09,2032-12-08,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C4,1788888.89,26468.43,,G,
2022-12-09,2032-12-08,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C2,1788888.89,1259.38,,G,Sea View / Beach View
2022-12-09,2032-12-08,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C3,1788888.89,1506.95,,G,Sea View / Beach View
2022-12-09,2032-12-08,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C7,1788888.89,936.46,,G,Sea View / Beach View
2022-12-09,2032-12-08,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C9,1788888.89,20828.15,,1,Sea View / Beach View
2022-12-09,2032-12-08,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,11601,1788888.89,24025.02,3.0,16,Sea View / Beach View
2022-12-09,2032-12-08,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,HOTEL,1788888.89,76563.62,,G,Sea View / Beach View
2024-12-01,2031-11-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,R014A,935748.89,4037.11,,G,
2024-12-01,2031-11-30,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,R014,935748.89,2398.52,,R,
2022-11-21,2031-11-20,Rental Contracts,New Contract,Golden Mile 04,Golden Mile,OF15,301221.21,3132.51,,MEZ,Community View / Garden View
2023-11-21,2031-11-20,Rental Contracts,New Contract,Golden Mile 04,Golden Mile,OF15,303042.8,3587.93,,MEZ,
2024-10-17,2031-10-16,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,R006,1212521.71,6832.6,,R,
2021-06-30,2031-06-29,Rental Contracts,New Contract,Signature Villas Frond E (Al Bumaan),Al Malak,PJFRE121,5000.0,8019.11,6.0,,
2024-06-23,2031-06-22,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,R012,1552062.93,7023.01,,R,
2024-01-28,2031-01-27,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,1659920.27,7510.94,,,
2025-12-15,2030-12-14,Rental Contracts,Renewal,Signature Villas Frond C (Al Hilali),Al Khayali,PJFRC004,200000.0,6999.98,6.0,,
2023-10-28,2030-10-27,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,250000.0,23609.11,,,
2024-09-01,2030-08-31,Rental Contracts,New Contract,Nakheel Mall,Al Msalli,E038,1691060.0,3038.0,,2,
2024-09-01,2030-08-31,Rental Contracts,New Contract,The Palm Tower,Palm Tower,NAN,1691060.0,12079.36,,,
2020-07-12,2030-07-11,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,11601,1610000.0,24025.02,3.0,16,Sea View / Beach View
2020-07-12,2030-07-11,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C4,1610000.0,26468.43,,G,
2020-07-12,2030-07-11,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C6,1610000.0,9203.13,,G,Sea View / Beach View
2020-07-12,2030-07-11,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,HOTEL,1610000.0,76563.62,,G,Sea View / Beach View
2020-07-12,2030-07-11,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C9,1610000.0,20828.15,,1,Sea View / Beach View
2020-07-12,2030-07-11,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C7,1610000.0,936.46,,G,Sea View / Beach View
2020-07-12,2030-07-11,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C3,1610000.0,1506.95,,G,Sea View / Beach View
2020-07-12,2030-07-11,Rental Contracts,New Contract,Five Palm Jumeirah,Seven Palm,C2,1610000.0,1259.38,,G,Sea View / Beach View
